시간,규모,진앙,위도,경도,위치
2016-01-313:03:00AM,2,28,36.95,129.92,경북울진군동쪽46km해역
2016-02-115:57:00AM,3.1,17,36.21,127.48,충남금산군북쪽12km지역
2016-02-2411:22:00PM,2.9,20,33.52,125.92,제주제주시고산북서쪽34km해역
2016-02-266:46:00PM,2.2,14,33.23,127.19,제주서귀포시성산동남동쪽34km해역
2016-02-284:52:00PM,2.5,6,38.73,125.85,북한황해북도송림시동쪽19km지역
2016-03-022:04:00PM,2.7,3,36.35,127.2,충남공주시남동쪽13km지역
2016-03-0511:11:00AM,3.3,0,35.61,129.82,울산동구동북동쪽38km해역
2016-03-145:17:00AM,3.1,8,38.71,125.87,북한황해북도송림시동쪽21km지역
2016-03-153:00:00AM,2.7,16,36.31,128.21,경북상주시남남동쪽12km지역
2016-03-153:38:00AM,2.5,13,37.6,129.82,강원삼척시동북동쪽60km해역
2016-03-272:52:00PM,2.3,12,35.33,130.04,울산동구동남동쪽59km해역
2016-03-276:28:00PM,3.1,7,39.38,126.06,북한평안남도성천시북서쪽20km지역
2016-03-282:34:00PM,2.9,13,35.22,127.96,경남진주시서북서쪽12km지역
2016-04-135:28:00AM,2.1,17,35.92,127.93,경북김천시남남서쪽28km지역
2016-04-213:53:00PM,2.7,18,33.52,125.92,제주제주시고산북서쪽34km해역
2016-04-213:55:00PM,2.7,10,33.53,125.89,제주제주시고산북서쪽36km해역
2016-04-2511:42:00AM,2.3,22,33.51,125.91,제주제주시고산북서쪽34km해역
2016-04-277:27:00PM,2.3,15,35.57,128.34,경남합천군동쪽16km지역
2016-04-2810:16:00AM,2.4,10,35.42,128.56,경남창녕군남남동쪽15km지역
2016-04-3010:46:00PM,2.6,19,37.75,125.4,북한황해남도옹진군남쪽20km지역
2016-05-033:29:00AM,2.4,2,37.11,129.02,강원태백시남남동쪽7km지역
2016-05-221:22:00AM,3.5,21,40.68,127.15,북한함경남도장진군북북서쪽34km지역
