,시간,규모,진앙,위도,경도,위치,pca_x,pca_y,cluster,silhouette_coff,cluster_db
141,2014-12-303:36:00PM,2.6,12.375886524822695,35.21,124.79,전남신안군흑산면북서쪽88km해역,-0.1432688708200083,3.1849867078635192,0,0.3827487820181272,-1
142,2015-01-061:06:00PM,2.8,12.0,38.43,126.28,북한황해북도평산북서쪽17km지역,-0.7142586540182997,1.2440289376539801,0,0.5570863428025418,-1
143,2015-01-088:15:00PM,3.5,16.0,37.51,125.63,인천옹진군연평도남남서쪽18km해역,3.2894664063556434,2.313596492363146,2,0.29655726776386326,-1
144,2015-01-315:10:00AM,2.2,16.0,36.6,129.45,경북영덕군북북동쪽22km해역,3.69698747819512,-1.377860921389683,2,0.4530800033895805,0
145,2015-02-037:54:00PM,2.1,17.0,33.61,127.57,전남여수시거문도남남동쪽52km해역,4.831586627823273,0.9620161836826329,2,0.5775289739347123,9
146,2015-02-192:25:00PM,2.1,9.0,36.09,125.05,충남태안군서격렬비도남서쪽71km해역,-3.556549307839955,2.556007140584308,0,0.4070609811385349,5
147,2015-02-234:54:00AM,2.7,23.0,32.96,126.25,제주제주시고산남남동쪽38km해역,10.736291071883903,2.7874916941363552,2,0.5158461836178665,-1
148,2015-03-101:10:00PM,2.7,5.0,37.36,125.15,인천옹진군연평도남서쪽59km해역,-7.641835755791161,2.0289468042505967,1,0.4289172863030857,-1
149,2015-03-1912:54:00PM,2.2,10.0,34.16,128.37,경남통영시욕지도남남동쪽54km해역,-2.098333643554676,-0.37802206159864404,0,0.669323793991122,-1
150,2015-03-194:20:00PM,2.7,21.0,36.43,127.65,충북옥천군북북동쪽16km지역,8.522684261589808,0.782097645134574,2,0.6209249096857231,-1
151,2015-04-136:02:00PM,3.3,10.0,37.18,125.47,인천옹진군연평도남남서쪽58km해역,-2.6401207908722775,2.101557995044839,0,0.5386517044456058,-1
152,2015-04-154:10:00AM,2.9,15.0,35.14,129.93,울산동구남동쪽61km해역,2.8900167745980596,-1.688472124320357,2,0.2544215520018499,3
153,2015-04-212:05:00AM,2.1,12.0,35.88,129.75,경북포항시남구동남동쪽38km해역,-0.17264174552532427,-1.8491473110187175,0,0.5124130883752646,25
154,2015-04-2410:14:00AM,2.3,20.0,35.88,129.69,경북포항시남구동남동쪽33km해역,7.754844259012066,-1.2373547108076197,2,0.630375198365353,23
155,2015-06-021:01:00AM,2.0,17.0,36.76,129.98,경북울진군동남동쪽57km해역,4.716574908584938,-1.8628287030108523,2,0.5451334978621946,1
156,2015-06-078:54:00PM,2.1,13.0,33.79,126.16,제주제주시북서쪽48km해역,0.7308508264158763,2.055919918847123,0,0.3238429600827541,-1
157,2015-06-1712:55:00AM,2.3,5.0,38.41,125.57,북한황해남도안악남남동쪽13km지역,-7.711492081218558,1.4519322061343238,1,0.4519275181079847,-1
158,2015-06-2212:02:00PM,2.6,7.0,35.85,125.0,충남태안군서격렬비도남남서쪽96km해역,-5.52036989396538,2.521560710311972,0,0.005570685690851129,6
159,2015-06-2212:44:00PM,2.4,7.0,36.35,127.24,충남공주시남동쪽15km지역,-5.385023898821622,0.23289211051262268,0,0.12504993628756583,-1
160,2015-07-048:49:00AM,2.1,15.0,36.32,128.18,경북상주시남쪽10km지역,2.628525706444802,-0.1568984603022878,2,0.204537657097846,26
161,2015-07-0811:01:00AM,2.0,16.0,37.63,125.86,인천옹진군연평도동남동쪽14km해역,3.29790651925446,2.013431702047371,2,0.31263944664335075,10
162,2015-07-142:34:00PM,2.8,6.0,33.24,127.01,제주서귀포시성산남동쪽20km해역,-6.085791639137532,0.8435195041230658,1,0.11965494186379948,-1
163,2015-07-189:15:00PM,2.3,7.0,36.07,128.08,경북김천시남남서쪽7km지역,-5.287618091285527,-0.5606467998826385,0,0.17971974163360274,-1
164,2015-07-201:33:00AM,2.2,20.0,33.26,127.21,제주서귀포시성산동남동쪽34km해역,7.811400751912698,1.574649288660859,2,0.6170187451109306,-1
165,2015-07-234:02:00AM,2.6,9.0,33.22,127.05,제주서귀포시성산남동쪽24km해역,-3.105568473546711,1.0037398724371331,0,0.5510362183643571,-1
166,2015-07-309:39:00AM,2.2,14.0,35.15,127.98,경남사천시북서쪽12km지역,1.7370262032791393,0.14042842425972485,0,0.12387823899705454,41
167,2015-08-0111:58:00PM,2.2,22.0,35.32,127.45,전남구례군북쪽13km지역,9.60892215764259,1.1847464325522121,2,0.5832990780811164,-1
168,2015-08-023:22:00AM,2.1,6.0,37.19,128.44,강원영월군서북서쪽2km지역,-6.36097897937082,-1.1488964102028385,1,0.13183294641703083,-1
169,2015-08-0310:11:00AM,3.7,20.0,33.26,127.06,제주서귀포시성산남동쪽22km해역,7.79760017587041,1.77900027612427,2,0.6101170958275257,-1
170,2015-08-125:09:00PM,2.2,17.0,37.17,127.5,경기이천시남남동쪽13km지역,4.4706429394004985,0.5349377508734765,2,0.5612201604563817,27
171,2015-08-174:56:00PM,2.5,8.0,37.2,125.38,인천옹진군연평도남남서쪽59km해역,-4.63195500553993,2.0212912889404326,0,0.25007633619955955,-1
172,2015-08-239:19:00AM,2.5,15.0,36.38,129.77,경북영덕군동쪽36km해역,2.753501440599127,-1.7196903271432333,2,0.21501358625752534,3
173,2015-09-011:47:00PM,2.5,6.0,39.09,126.53,북한평안남도양덕남서쪽16km지역,-6.7086259803353485,0.4845311086072444,1,0.27555544155790784,-1
174,2015-09-034:53:00AM,2.7,19.0,33.27,127.04,제주서귀포시성산남동쪽20km해역,6.804312252301419,1.6916725970631132,2,0.6168975320122309,-1
175,2015-09-1810:12:00AM,2.1,15.0,34.7,128.75,경남통영시매물도동북동쪽17km해역,2.8371841581939945,-0.49201251639822113,2,0.2715526690522405,26
176,2015-10-019:21:00AM,2.5,17.0,35.78,129.14,경북경주시남서쪽9km지역,4.744462983410595,-0.8773381431304346,2,0.609772061741731,1
177,2015-10-012:06:00PM,2.1,18.0,35.78,129.14,경북경주시남서쪽9km지역,5.73641785053767,-0.8242174455755957,2,0.6580325267466801,2
178,2015-10-1112:55:00AM,2.1,19.0,33.3,127.02,제주서귀포시성산남동쪽16km해역,6.800232233640808,1.6846818055830133,2,0.6171793472210783,-1
179,2015-10-2611:29:00PM,2.1,24.0,34.09,126.85,전남완도군남남동쪽26km해역,11.665290756843389,2.082204243814897,2,0.5062144538287977,-1
