crym,tco_btc_nm,ma_fem_dc,agegrp_dc,tco_btc_u_ct,tco_btc_u_am
201905,한식,2,50,858690,28651075212
201905,한식,2,60,294250,10730929801
201905,한식,2,70,64502,2375926455
201905,한식,2,80,8231,311897716
201905,한식,2,90,250,10359100
201905,일식,1,0,1,45000
201905,일식,1,10,152,4841300
201905,일식,1,20,18421,720815055
201905,일식,1,30,50606,2414374204
201905,일식,1,40,63238,3173986940
201905,일식,1,50,40497,2027720763
201905,일식,1,60,13133,710983922
201905,일식,1,70,3560,181447965
201905,일식,1,80,757,35057895
201905,일식,1,90,49,2132100
201905,일식,2,10,226,6065150
201905,일식,2,20,25175,886917446
201905,일식,2,30,55964,2237897204
201905,일식,2,40,85346,3404004787
201905,일식,2,50,57488,2379820166
201905,일식,2,60,15635,778817705
201905,일식,2,70,3483,160388355
201905,일식,2,80,608,24626750
201905,일식,2,90,22,867000
201905,중식,1,10,215,4218482
201905,중식,1,20,25430,605864763
201905,중식,1,30,96947,2516540961
201905,중식,1,40,131424,3316835046
201905,중식,1,50,72896,1743734166
201905,중식,1,60,22863,562584538
201905,중식,1,70,5802,156802280
201905,중식,1,80,1110,34232160
201905,중식,1,90,49,3568500
201905,중식,2,10,248,4349320
201905,중식,2,20,27357,652472105
201905,중식,2,30,90542,2388823931
201905,중식,2,40,140621,3432313537
201905,중식,2,50,87379,2055787334
201905,중식,2,60,25870,663503172
201905,중식,2,70,5953,167439280
201905,중식,2,80,921,30679760
201905,중식,2,90,28,870600
201905,양식,1,1,1,34400
201905,양식,1,10,121,3215610
201905,양식,1,20,15601,485594178
201905,양식,1,30,45949,1635407067
201905,양식,1,40,50063,1795447502
201905,양식,1,50,27286,927641228
201905,양식,1,60,7186,271771627
201905,양식,1,70,1608,57207552
201905,양식,1,80,343,17642320
201905,양식,1,90,14,412840
201905,양식,2,10,249,5786084
201905,양식,2,20,27710,833553728
201905,양식,2,30,69351,2144985485
201905,양식,2,40,85293,2527619097
201905,양식,2,50,50492,1501885540
201905,양식,2,60,12335,418275201
201905,양식,2,70,2201,91991158
201905,양식,2,80,310,10347410
201905,양식,2,90,9,222600
201905,패스트푸드점,1,0,3,20500
201905,패스트푸드점,1,10,497,4330830
201905,패스트푸드점,1,20,48176,415226574
201905,패스트푸드점,1,30,162643,1377970520
201905,패스트푸드점,1,40,192913,1735540474
201905,패스트푸드점,1,50,81421,698428231
201905,패스트푸드점,1,60,20837,162982424
201905,패스트푸드점,1,70,5907,44553090
201905,패스트푸드점,1,80,1498,10796300
201905,패스트푸드점,1,90,79,734860
201905,패스트푸드점,2,10,518,4279140
201905,패스트푸드점,2,20,52457,435615838
201905,패스트푸드점,2,30,210173,1782042422
201905,패스트푸드점,2,40,310519,2734676620
201905,패스트푸드점,2,50,146790,1192082219
201905,패스트푸드점,2,60,38501,294033418
201905,패스트푸드점,2,70,8665,67134440
201905,패스트푸드점,2,80,1183,9127670
201905,패스트푸드점,2,90,39,355550
201905,패밀리레스토랑,1,0,1,9900
201905,패밀리레스토랑,1,10,28,602980
